ticker,start_date,end_date,num_days,missing_close_pct
ADANIGREEN,2018-06-18,2025-11-11,1828,0.0
ADANIPORTS,2018-01-01,2025-11-11,1941,0.0
APOLLOHOSP,2018-01-01,2025-11-11,1942,0.0
ASIANPAINT,2018-01-01,2025-11-11,1942,0.0
AXISBANK,2018-01-01,2025-11-11,1942,0.0
BAJAJ-AUTO,2018-01-01,2025-11-11,1942,0.0
BAJAJFINSV,2018-01-01,2025-11-11,1942,0.0
BAJFINANCE,2018-01-01,2025-11-11,1942,0.0
BANDHANBNK,2018-03-27,2025-11-11,1884,0.0
BHARTIARTL,2018-01-01,2025-11-11,1942,0.0
BRITANNIA,2018-01-01,2025-11-11,1942,0.0
COALINDIA,2018-01-01,2025-11-11,1942,0.0
DIVISLAB,2018-01-01,2025-11-11,1942,0.0
DLF,2018-01-01,2025-11-11,1942,0.0
DRREDDY,2018-01-01,2025-11-11,1942,0.0
EICHERMOT,2018-01-01,2025-11-11,1942,0.0
GODREJCP,2018-01-01,2025-11-11,1941,0.0
GRASIM,2018-01-01,2025-11-11,1942,0.0
HAVELLS,2018-01-01,2025-11-11,1942,0.0
HCLTECH,2018-01-01,2025-11-11,1942,0.0
HDFCBANK,2018-01-01,2025-11-11,1942,0.0
HEROMOTOCO,2018-01-01,2025-11-11,1942,0.0
HINDALCO,2018-01-01,2025-11-11,1942,0.0
HINDUNILVR,2018-01-01,2025-11-11,1942,0.0
ICICIBANK,2018-01-01,2025-11-10,1941,0.0
ICICIGI,2018-01-01,2025-11-11,1941,0.0
ICICIPRULI,2018-01-01,2025-11-11,1942,0.0
INDUSINDBK,2018-01-01,2025-11-11,1942,0.0
INFY,2018-01-01,2025-11-11,1942,0.0
ITC,2018-01-01,2025-11-11,1942,0.0
JSWSTEEL,2018-01-01,2025-11-11,1941,0.0
KOTAKBANK,2018-01-01,2025-11-11,1942,0.0
LT,2018-01-01,2025-11-11,1942,0.0
M&M,2018-01-01,2025-11-11,1942,0.0
MARUTI,2018-01-01,2025-11-11,1942,0.0
MUTHOOTFIN,2018-01-01,2025-11-11,1942,0.0
NESTLEIND,2018-01-01,2025-11-11,1942,0.0
NMDC,2018-01-01,2025-11-11,1942,0.0
NTPC,2018-01-01,2025-11-11,1942,0.0
ONGC,2018-01-01,2025-11-11,1942,0.0
PEL,2018-01-01,2025-11-06,1939,0.0
PIDILITIND,2018-01-01,2025-11-11,1942,0.0
POWERGRID,2018-01-01,2025-11-11,1942,0.0
RELIANCE,2018-01-01,2025-11-11,1942,0.0
SBILIFE,2018-01-01,2025-11-11,1942,0.0
SBIN,2018-01-01,2025-11-11,1942,0.0
SIEMENS,2018-01-01,2025-11-11,1942,0.0
SUNPHARMA,2018-01-01,2025-11-11,1942,0.0
TATASTEEL,2018-01-01,2025-11-11,1942,0.0
TCS,2018-01-01,2025-11-11,1942,0.0
TECHM,2018-01-01,2025-11-11,1942,0.0
TITAN,2018-01-01,2025-11-11,1942,0.0
ULTRACEMCO,2018-01-01,2025-11-11,1942,0.0
UPL,2018-01-01,2025-11-11,1942,0.0
VOLTAS,2018-01-01,2025-11-11,1942,0.0
WIPRO,2018-01-01,2025-11-11,1942,0.0
