,importance
sector_relative__sector_rel_close,4247
regime__market_vol_20d,2950
technical__ema_20,2723
technical__ema_50,2651
volatility__downside_vol_10d,2558
volatility__vol_20d,2474
atr__atr_14,2350
momentum__pct_from_120d_high,2302
technical__macd_signal,2264
atr__atr_pct_14,2235
volatility__vol_10d,2107
momentum__momentum_ratio_10_30,2055
turnover__volume_ratio_5_20,2032
technical__macd,1665
sector_relative__sector_ret_z,1583
volatility__vol_ratio_short_long,1552
momentum__ret_20d,1511
volatility__vol_5d,1504
momentum__ret_10d,1446
technical__rsi_14,1426
turnover__turnover_trend_20,1225
technical__boll_z,1218
turnover__turnover_z_20,1217
momentum__ret_5d,1152
momentum__ret_3d,1125
sector_relative__sector_rank_pct,802
regime__regime_is_bull,20
regime__regime_is_bear,6
