feature_block,feature_count,mean_ic,median_ic,std_ic,mean_rank_ic,median_rank_ic,std_rank_ic,positive_ic_count,ic_above_0_1_count,top_feature,top_ic
regime,6,0.01741293140083302,0.018177937949851897,0.0052220438444501435,0.01884833420019393,0.01941210785084327,0.00581714865216835,6,0,regime__index_vol_pct,0.024755293990834284
regime_adaptive,9,0.009854051579576186,0.00779670234134239,0.0071002152950801894,0.01423811181549737,0.012978012318654199,0.004976818875931072,9,0,regime_adaptive__market_adj_mom_10,0.02399702331395512
sector_relative,6,0.008441618726372979,0.011645118384199125,0.008305890429718384,0.01310669580109483,0.012608753750090275,0.0041163752984792416,5,0,sector_relative__sector_mom_10_z,0.013554768352778792
atr,2,0.006831372496932483,0.006831372496932483,0.015195636318572504,0.0179737160035796,0.0179737160035796,0.0030942676748864613,1,0,atr__atr_pct_14,0.022027008815504987
volatility,5,0.00665169022776232,0.005747641589320184,0.0043662353027426925,0.012958686448106164,0.014521055034934864,0.0035880832616653692,5,0,volatility__downside_vol_10d,0.014528513728732107
turnover,5,0.0018557893159287767,0.006044573974018319,0.008068151454590824,0.0013997260834377081,0.007012245585252129,0.013436080131857441,3,0,turnover__turnover_z_20,0.010441143404638961
mean_reversion,11,-0.0030536544097364902,-0.005515681583454593,0.010893923812554957,-0.005236219276107432,-0.004967816343028513,0.01239540631381416,5,0,mean_reversion__oversold_signal,0.014661838029916855
momentum,10,-0.008965327543588534,-0.006533519591341375,0.005062439298591426,-0.008628317153599064,-0.00788049326614491,0.0024517811483662955,0,0,momentum__price_ret_1d,-0.004445822289285076
technical,6,-0.009038179535784516,-0.00949552579795128,0.002102342638011457,-0.00784135943325391,-0.008663677979284527,0.01167209528384622,0,0,technical__boll_z,-0.00551568158118557
